CILUBA,French,Score,Sentiment,Nature,
Akaja,Arrange,1,Positif,Verbe,
Akajilula,Rearrange,1,Positif,Verbe,
Akula,Parle,2,Positif,Verbe,
Akulula,Reparle,2,Positif,Verbe,
Aluja,Remet,3,Positif,Verbe,
Amba,Dis,3,Positif,Verbe,
Ambakaja,Supperpose,3,Positif,Verbe,
Ambula,Ramasse,4,Positif,Verbe,
Ambuluja,Depeche,4,Positif,Verbe,
Ambulula,Repete,9,Positif,Verbe,
Andamuna,Repond,9,Positif,Verbe,
Angata,Prend,9,Positif,Verbe,
Angatulula,Reprend,9,Positif,Verbe,
Bilamba,Habits,8,Positif,Mot,
Bilela,Blague,8,Positif,Mot,
Biluatu,Vetements,-1,Negatif,Mot,
Binsonji,Larmes,7,Positif,Mot,
Buela,Entre,7,Positif,Verbe,
Bukenka,Lumiere,7,Positif,Mot,
Buloba,Terre,-1,Negatif,Mot,
Busuyi,Caboche,1,Positif,Mot,
Bufuki,Creature,1,Positif,Mot,
Buinvuindi,Ecouteurs,3,Positif,Mot,
Biuma,Dot,4,Positif,Mot,
Biululu,Nuage,5,Positif,Mot,
Binvundu,Desordre,-3,Negatif,Mot,
Bilongu,Fleurs,6,Positif,Mot,
Kubunya,Plier,8,Positif,Verbe,
Bulela,Verité,8,Positif,Mot,
Bujitu,Poid,9,Positif,Mot,
Bunsantu,Sainteté,8,Positif,Mot,
Bunsenji,Imbecilité,-3,Negatif,Mot,
Bantu,gens,1,Positif,Mot,
Bansatu,Saints,9,Positif,Mot,
Banjelu,Anges,1,Positif,Mot,
Buinvi,Vol,-9,Negatif,Mot,
Buikila,Ferme,-8,Negatif,Mot,
Butaka,Sexe,3,Positif,Mot,
Bulalu,Lit,2,Positif,Mot,
Bufuka,Fertile,6,Positif,Mot,
Buatu,Bateau,5,Positif,Mot,
Bukula,Farine,8,Positif,Mot,
Kuanyisha,Admirer,9,Positif,Verbe,
Kupiana,Adopter,1,Positif,Verbe,
Kuvundula,Agiter,-8,Negatif,Verbe,
Kuambila,Annoncer,4,Positif,Verbe,
Kubabidila,Anticiper,5,Positif,Verbe,
Kusanga,Assembler,9,Positif,Verbe,
Mushipu,Automne,-5,Negatif,Mot,
Lukinu,Haine,-8,Negatif,Mot,
Kukoma,Repasser,3,Positif,Verbe,
Lusa,Pitié,4,Positif,Mot,
Kutela,Enumerer,6,Positif,Verbe,
Kututa,Frapper,-5,Negatif,Verbe,
Kuenda,Marcher,7,Positif,Verbe,
Kuseka,Rigoler,3,Positif,Verbe,
Kupeta,Trouver,7,Positif,Verbe,
Kukumbaja,Accomplir,9,Positif,Verbe,
Kuhuja,Remplir,1,Positif,Verbe,
Mulayi,Promesse,6,Positif,Mot,
Kupesha,Donner,1,Positif,Verbe,
Kuja,Danser,1,Positif,Verbe,
Kuimba,Chanter,5,Positif,Verbe,
Kupangila,Rater,-9,Negatif,Verbe,
Kupangila,Manquer,-9,Negatif,Verbe,
Tshikosu,Raccourcis,4,Positif,Mot,
Kututa,Fouetter,-8,Negatif,Verbe,
Dimanya,Savoir,6,Positif,Verbe,
Kulala,Dormir,2,Positif,Verbe,
Kubika,Reveiller,1,Positif,Verbe,
Kukanga,Fermer,4,Positif,Verbe,
Kulomba,Demander,5,Positif,Verbe,
Kualuja,Remettre,2,Positif,Verbe,
Kuteka,Deposer,1,Positif,Verbe,
Kulamba,Preparer,3,Positif,Verbe,
Kutua,Manupuler,3,Positif,Verbe,
Luntandala,Internet,2,Positif,Mot,
Kutshiangunya,Mancher,3,Positif,Verbe,
Kuduilulula,Ruminer,4,Positif,Verbe,
Kunyema,Courir,1,Positif,Verbe,
kuipata,Chasser,-7,Negatif,Verbe,
Kunvua,Comprendre,2,Positif,Verbe,
Kukupula,Essuyer,1,Positif,Verbe,
Mundindimbi,Ombre,1,Positif,Mot,
Muedi,Barbe,1,Positif,Mot,
Nsuki,Cheveux,2,Positif,Mot,
Kudiabakena,Lamanter,-5,Negatif,Verbe,
Kuzakala,Trambler,-9,Negatif,Verbe,
kulaba,frotter,4,Positif,Verbe,
kutukakaja,separer,4,Positif,Verbe,
kuakadila,embrasser,4,Positif,Mot,
kutentakaja,entasser,4,Positif,Verbe,
kubuidikija,couvrir,4,Positif,Verbe,
kuibaka,construire,4,Positif,Verbe,
kuitaba,accepter,4,Positif,Verbe,
kubenga,refuser,-2,Negatif,Verbe,
kudifuanyikijila,imaginer,2,Positif,Verbe,
tshisokomenu,refuge,2,Positif,Verbe,
kunzulula,ouvrir,2,Positif,Verbe,
kujandula,decouvrir,2,Positif,Verbe,
kuvuluka,rappeler,2,Positif,Verbe,
kupuamoyo,oublier,2,Positif,Verbe,
kufunda,ecrire,2,Positif,Verbe,
kusumba,acheter,2,Positif,Verbe,
nvunda,tourbillon,-4,Negatif,Mot,
nkuba,foudre,-4,Negatif,Mot,
dikubakuba,tonnere,-4,Negatif,Mot,
tshiululu,nuage,1,Positif,Mot,
malemba,orage,4,Positif,Mot,
kufunda,accuser,-2,Negatif,Verbe,
kusungulula,discrimination,-3,Negatif,Mot,
kuikisha,reposer,1,Positif,Verbe,
kulomba,mendier,-5,Negatif,Verbe,
mudiavi,gourmant,2,Positif,Mot,
kuadija,etaler,2,Positif,Verbe,
kututula,epoussetter,2,Positif,Verbe,
kulumbuluisha,juger,2,Positif,Verbe,
ndumbulula,juge,2,Positif,Mot,
tshimpumpu,grippe,-3,Negatif,Mot,
mbangidi,commencement,6,Positif,Mot,
kuambula,reprendre,3,Positif,Verbe,
ngena,enfer,-9,Negatif,Mot,
kubuela,entrer,1,Positif,Verbe,
muntu,personne,1,Positif,Mot,
kupatuka,sortir,1,Positif,Verbe,
dididishi,fenetre,1,Positif,Mot,
muishi,fumée,-1,Negatif,Mot,
muiishi,pilon,2,Positif,Mot,
lupepela,air,4,Positif,Mot,
mukuna,montagne,4,Positif,Mot,
kulaamba,ramper,4,Positif,Verbe,
Kulamba,preparer,4,Positif,Verbe,
kubombeka,tramper,4,Positif,Verbe,
kukosa,trancher,4,Positif,Verbe,
kupanda,dechirer,-3,Negatif,Verbe,
kupemba,moucher,4,Positif,Verbe,
kusaminamoyi,manquer,-2,Negatif,Verbe,
kujila,chamailler,-1,Negatif,Verbe,
kukokangana,tirailler,-6,Negatif,Verbe,
kukoka,tirer,2,Positif,Verbe,
kuinama,incliner,2,Positif,Verbe,
kumbula,creuser,2,Positif,Verbe,
kutubula,trouer,2,Positif,Verbe,
kukonya,gratter,-1,Negatif,Verbe,
tshivulukilu,souvenir,5,Positif,Verbe,
kutonda,repentir,6,Positif,Verbe,
kutela,coudre,2,Positif,Verbe,
kupela,moudre,1,Positif,Verbe,
kusuma,mordre,-2,Negatif,Verbe,
kudima,cultivre,3,Positif,Verbe,
kukuna,semer,2,Positif,Verbe,
kuhola,recolter,4,Positif,Verbe,
mulami,gardien,4,Positif,Mot,
kuihila,sarcle,4,Positif,Mot,
kuhakula,castrer,4,Positif,Verbe,
kutengula,circonsir,4,Positif,Verbe,
kunungana,murmurer,4,Positif,Verbe,
kubobesha,murmur,4,Positif,Verbe,
kuluatshisha, faire habiller,4,Positif,Verbe,
kuvuadika,habiller,4,Positif,Verbe,
munganga,infirmier,4,Positif,Mot,
kumanyisha,informer,4,Positif,Verbe,
kunvuija,expliquer,4,Positif,Verbe,
kunua,boire,4,Positif,Verbe,
kusangisha,additionner,4,Positif,Verbe,
nvita,guerre,-7,Negatif,Mot,
kujika,enterrer,-5,Negatif,Verbe,
kuakaja,arranger,4,Positif,Verbe,
kulela,accoucher,4,Positif,Verbe,
kulengeja,embelir,4,Positif,Verbe,
kukezula,purifier,4,Positif,Verbe,
kusukula,netoyer,4,Positif,Verbe,
kabalamatuku,calendrier,4,Positif,Mot,
kubueja,inserer,4,Positif,Verbe,
Kuludika,adresser,4,Positif,Verbe,
Kubela,eduquer,4,Positif,Verbe,
Tshienzedi,acte,4,Positif,Mot,
Kushimuna,vaincre,4,Positif,Verbe,
Kutumbisha,louer,4,Positif,Verbe,
kukukuila,adorer,4,Positif,Verbe,
Kutangalaja,propager,4,Positif,Verbe,
Dizakala,tremblement,4,Positif,Verbe,
Kuzakala,trembler,4,Positif,Verbe,
Kutshibuka,fracturer,-5,Negatif,Verbe,
Kukuta,rassasier,3,Positif,Verbe,
Kujima,eteindre,3,Positif,Verbe,
Kutemesha,allumer,3,Positif,Verbe,
kusemena,approcher,3,Positif,Verbe,
Kuntekela,observer,3,Positif,Verbe,
Kufangikisha,ressembler,3,Positif,Verbe,
Kumonununa,revoir,3,Positif,Verbe,
Kutshina,craindre,3,Positif,Verbe,
Kuluka,vomir,-3,Negatif,Verbe,
Miengu,nauser,-4,Negatif,Verbe,
tshieleka,serment,4,Positif,Verbe,
Kowela,nager,4,Positif,Verbe,
Kudina,noyer,-2,Negatif,Verbe,
Kuhuyakana,respirer,5,Positif,Verbe,
Kuinyija,plonger,5,Positif,Verbe,
Kubola,mouiller,-6,Negatif,Verbe,
Kubungila,somnoler,3,Positif,Verbe,
Kulota,rever,3,Positif,Verbe,
Butuku,nuit,-5,Negatif,Mot,
Dituku,jour,7,Positif,Mot,
Ditunga,pays,7,Positif,Mot,
Kumuenena,dominer,7,Positif,Verbe,
Tshimenga,ville,7,Positif,Mot,
Mulondi,village,7,Positif,Mot,
Kuvuma,vibrer,7,Positif,Verbe,
Mulondi,coureur,7,Positif,Verbe,
Momunyi,voyant,7,Positif,Verbe,
Nsanyanga,sentiment,7,Positif,Mot,
Kujingila,souhaiter,7,Positif,Verbe,
Kukehesha,reduire,7,Positif,Verbe,
Mavuala,vague,-4,Negatif,Mot,
tshipepela,tempete,-4,Negatif,Mot,
Kudiombola,decevoir,-4,Negatif,Verbe,
Munyengi,cambrioleur,-4,Negatif,Verbe,
Kukankamija,encourager,6,Positif,Mot,
Disankisha,rendreheureux,6,Positif,Verbe,
Diambuluisha,aider,6,Positif,Verbe,
Kumupetesha,apporter,6,Positif,Verbe,
Ditekemena,esperance,6,Positif,Mot,
Kulongesha,enseigner,6,Positif,Verbe,
Kukonkolola,examiner,6,Positif,Verbe,
Kanyinganinga,stress,-7,Negatif,Mot,
Kutantamena,supporter,5,Positif,Verbe,
Kansungansunga,injustice,-3,Negatif,Mot,
Kukumbaja,realiser,4,Positif,Verbe,
Bibunyi,abondance,4,Positif,Mot,
Kumbusha,enlever,4,Positif,Verbe,
Tshijiengu,cercle,4,Positif,Mot,
Buloba,Terre,4,Positif,Mot,
Bionsu,tout,0,Neutre,Mot,
Kuikala,etre,0,Neutre,Verbe,
Bikukibua,Creature,5,Positif,Mot,
Moyi,vie,5,Positif,Mot,
Bulelela,Verité,5,Positif,Mot,
Kufunda,ecrire,5,Positif,Verbe,
Kunianga,abimer,-4,Negatif,Verbe,
Kumanyisha,informer,3,Positif,Verbe,
Biabunyi,beaucoup,3,Positif,Mot,
Tshikondo,periode,3,Positif,Mot,
Tshilejelu,exemple,3,Positif,Mot,
Dimanyia,connaissance,3,Positif,Mot,
Mpokolo,source,3,Positif,Mot,
Wa,de,0,Neutre,Article,
Bakuabu,d'autre,0,Neutre,Mot,
Kuangata,prendre,2,Positif,Verbe,
Tshibuashabuasha,univers,2,Positif,Mot,
Mitoto,etiole,2,Positif,Mot,
Butoke,eclairer,2,Positif,Verbe,
Mushindu,façon,2,Positif,Mot,
Kuteleja,ecouter,2,Positif,Verbe,
Diyi,voix,2,Positif,Mot,
Mubidi,corps,2,Positif,Mot,
Mashi,sang,2,Positif,Mot,
Kumona,voir,2,Positif,Verbe,
Kuitaba,accepter,2,Positif,Verbe,
Mpukampuka,hasard,2,Positif,Mot,
tshibingishilu,commencement,2,Positif,Mot,
Tshinfuanyi,image,2,Positif,Mot,
Ngikadilu,qualiter,2,Positif,Mot,
Bukokeshi,autoriter,2,Positif,Mot,
Dishilangana,different,2,Positif,Mot,
Kusambila,prier,2,Positif,Verbe,
Kukumbana,convenir,2,Positif,Verbe,
Bulunda,amitier,2,Positif,Mot,
Kulua,venir,2,Positif,Verbe,
Mushinga,prix,2,Positif,Mot,
kusemena,approcher,2,Positif,Verbe,
Kuambuluisha,aider,2,Positif,Verbe,
Kusamba,consoller,2,Positif,Verbe,
Kusankisha,rejouire,2,Positif,Verbe,
kushintuluka,changer,2,Positif,Verbe,
Makenga,souffrance,2,Positif,Mot,
Kuludika,redresser,2,Positif,Verbe,
Kuenza,faire,2,Positif,Verbe,
kulomba,Demander,2,Positif,Verbe,
Kupumuna,epancher,2,Positif,Verbe,
Ditalala,paix,2,Positif,Mot,
Kudisangisha,reunir,2,Positif,Verbe,
Diku,famille,2,Positif,Mot,
Tshisumbu,groupe,2,Positif,Mot,
Mikenji,lois,2,Positif,Mot,
Ntemu,temoin,2,Positif,Mot,
Kushima,mentir,-3,Negatif,Verbe,
Tshisangilu,reunion,4,Positif,Mot,
Pamuapa,defois,4,Positif,Mot,
Kuseka,Rigoler,4,Positif,Verbe,
Kuibidila,habitude,4,Positif,Mot,
Madilu,deuil,-6,Negatif,Mot,
Kuibaka,construire,3,Positif,Verbe,
Bipepela,facile,3,Positif,Mot,
Kusungula,choisire,3,Positif,Verbe,
kulomba,Demander,3,Positif,Verbe,
Bulongolodi,organisation,3,Positif,Mot,
Kucimuna,vincrait,3,Positif,Mot,
Kusuminyina,ainsister,3,Positif,Verbe,
Kutunguluka,continuer,3,Positif,Verbe,
Mufuki,createur,3,Positif,Mot,
Kukokela,soumission,3,Positif,Mot,
Disanka,joie,3,Positif,Mot,
Kukumbajia,ajouter,3,Positif,Verbe,
Mukaji,femme,3,Positif,Mot,
mudimu,travail,3,Positif,Verbe,
Kabutu,destruiction,3,Positif,Mot,
Lukuka,aviditer,3,Positif,Mot,
Muana,descendance,3,Positif,Mot,
Biabunyi,immence,3,Positif,Mot,
Lulamatu,fideliter,3,Positif,Mot,
Kudipuekesha,humilter,3,Positif,Mot,
Kukuba,proteger,3,Positif,Verbe,
Ciendelela,eterniter,3,Positif,Mot,
Dishintuluka,changement,3,Positif,Mot,
Ditumikila,obeisance,3,Positif,Mot,
disanka,bonheur,3,Positif,Mot,
dibungama,tristesse,-1,Negatif,Mot,
tshinji,colere,-4,Negatif,Mot,
bowa,peur,-6,Negatif,Mot,
ditalala,paix,5,Positif,Mot,
kukuata,reusir,5,Positif,Verbe,
