CILUBA,French,English,Afrikaans,Zulu,Score,Sentiment,Nature,English_Translation
Akaja,Arrange,arrange,Rangskik,Hlela,1.0,Positif,Verbe,Arrange
Akajilula,Rearrange,rearrange,Herrangskik,Hlela kabusha,1.0,Positif,Verbe,Rearrange
Akula,Parle,speak,Praat,Uyakhuluma,2.0,Positif,Verbe,Speak
Akulula,Reparle,speak again,Praat,Iphinde ikhulume,2.0,Positif,Verbe,Speak again
Aluja,Remet,hands over,Hande,Isaphulelo,3.0,Positif,Verbe,Hand over
Amba,Dis,say,Dis,I-DIS,3.0,Positif,Verbe,Say
Ambakaja,Supperpose,superimpose,Veronderstel,Isidlo sakusihlwa,3.0,Positif,Verbe,Superpose
Ambula,Ramasse,pick up,Tel op,Ukuthatha,4.0,Positif,Verbe,Pick up
Ambuluja,Depeche,dispatch,Depeche,I-Depeche,4.0,Positif,Verbe,News report
Ambulula,Repete,repeated,Herhaal,Phinda,9.0,Positif,Verbe,Repeated
Andamuna,Repond,answers,Antwoorde,Phendula,9.0,Positif,Verbe,Answers
Angata,Prend,takes,Neem,Kuthatha,9.0,Positif,Verbe,Takes
Angatulula,Reprend,resumes,Hervat,Uyaqhubeka,9.0,Positif,Verbe,Start again
Bilamba,Habits,clothes,Klere,Izingubo,8.0,Positif,Mot,Clothes
Bilela,Blague,joke,Grap,Amahlaya,8.0,Positif,Mot,Joke
Biluatu,Vetements,clothes,Klere,Izingubo zokugqoka,-1.0,Negatif,Mot,Clothes
Binsonji,Larmes,tears,Trane,Izinyembezi,7.0,Positif,Mot,Tears
Buela,Entre,between,Kom in,Phakathi,7.0,Positif,Verbe,Between
Bukenka,Lumiere,light,Lig,I-Lumiere,7.0,Positif,Mot,Light
Buloba,Terre,earth,Aarde,Umhlaba,-1.0,Negatif,Mot,Earth
Busuyi,Caboche,noggin,Kop,I-Caboche,1.0,Positif,Mot,Caboche
Bufuki,Creature,creature,Skepsel,Isidalwa,1.0,Positif,Mot,Creature
Buinvuindi,Ecouteurs,headphones,Oorfone,Ama-headphone,3.0,Positif,Mot,Headphones
Biuma,Dot,dowry,Bruidskat,Amachashazi,4.0,Positif,Mot,Dowry
Biululu,Nuage,cloud,Wolk,I-Cloud,5.0,Positif,Mot,Cloud
Binvundu,Desordre,mess,Versteuring,Ugwadule,-3.0,Negatif,Mot,Mess
Bilongu,Fleurs,flowers,Blomme,Izimbali,6.0,Positif,Mot,Flowers
Kubunya,Plier,bend,Vou,Songa,8.0,Positif,Verbe,Bend
Bulela,Verité,truth,Waarheid,Iqiniso,8.0,Positif,Mot,Truth
Bujitu,Poid,weight,Gewig,I-poid,9.0,Positif,Mot,Weight
Bunsantu,Sainteté,holiness,Heiligheid,Ubungcwele,8.0,Positif,Mot,Holiness
Bunsenji,Imbecilité,imbecility,Imbecility,Imbecility,-3.0,Negatif,Mot,Imbecility
Bantu,gens,people,Mense,abantu,1.0,Positif,Mot,people
Bansatu,Saints,saints,Heiliges,Osanta,9.0,Positif,Mot,Saints
Banjelu,Anges,angels,Engele,Izingelosi,1.0,Positif,Mot,Angels
Buinvi,Vol,flight,Diefstal,Indiza,-9.0,Negatif,Mot,Flight
Buikila,Ferme,farm,Ferm,Ipulazi,-8.0,Negatif,Mot,Farm
Butaka,Sexe,sex,Seks,Ubulili,3.0,Positif,Mot,Sex
Bulalu,Lit,bed,Bed,Umbhede,2.0,Positif,Mot,Bed
Bufuka,Fertile,fertile,Vrugbare,Ivundile,6.0,Positif,Mot,Fertile
Buatu,Bateau,boat,Boot,Isikebhe,5.0,Positif,Mot,Boat
Bukula,Farine,flour,Meel,Inhlama,8.0,Positif,Mot,Flour
Kuanyisha,Admirer,admire,Bewonder,Yazisa,9.0,Positif,Verbe,Admire
Kupiana,Adopter,adopt,Neem,Yamukela,1.0,Positif,Verbe,Adopt
Kuvundula,Agiter,shake,Roer,Shake,-8.0,Negatif,Verbe,Shake
Kuambila,Annoncer,announce,Kondig aan,Memezela,4.0,Positif,Verbe,Announce
Kubabidila,Anticiper,anticipate,Verwag,Lindela,5.0,Positif,Verbe,Anticipate
Kusanga,Assembler,assemble,Samesteller,Hlanganani,9.0,Positif,Verbe,Assemble
Mushipu,Automne,autumn,Samesteller,Ukwindla,-5.0,Negatif,Mot,Autumn
Lukinu,Haine,hate,Haat,Inzondo,-8.0,Negatif,Mot,Hate
Kukoma,Repasser,iron,Yster,I-ayini,3.0,Positif,Verbe,Ironing
Lusa,Pitié,pity,Jammerte,Isihe,4.0,Positif,Mot,Pity
Kutela,Enumerer,list,Lys,Bala,6.0,Positif,Verbe,List
Kututa,Frapper,hit,Slaan,Shaya,-5.0,Negatif,Verbe,Hit
Kuenda,Marcher,to walk,Loop,Ukuhamba ngezinyawo,7.0,Positif,Verbe,To walk
Kuseka,Rigoler,to laugh,Lag,Hleka,3.0,Positif,Verbe,To laugh
Kupeta,Trouver,find,Vind,Thola,7.0,Positif,Verbe,Find
Kukumbaja,Accomplir,accomplish,Bereik,Feza,9.0,Positif,Verbe,Accomplish
Kuhuja,Remplir,fill,Vul,Gcwalisa,1.0,Positif,Verbe,Fill
Mulayi,Promesse,promise,Belofte,Thembisa,6.0,Positif,Mot,Promise
Kupesha,Donner,give,Gee,Nikeza,1.0,Positif,Verbe,Give
Kuja,Danser,to dance,Dans,Ukudansa,1.0,Positif,Verbe,To dance
Kuimba,Chanter,sing,Sing,Cula,5.0,Positif,Verbe,Sing
Kupangila,Rater,miss,Mej.,Miss,-9.0,Negatif,Verbe,Miss
Kupangila,Manquer,miss,Gebrek,Miss,-9.0,Negatif,Verbe,Miss
Tshikosu,Raccourcis,shortcuts,Kortpaaie,Izinqamuleli,4.0,Positif,Mot,Shortcuts
Kututa,Fouetter,whip,Sweep,I-Whip,-8.0,Negatif,Verbe,Whisk
Dimanya,Savoir,know,Weet,Ulwazi,6.0,Positif,Verbe,Know
Kulala,Dormir,sleep,Slaap,Ukulala,2.0,Positif,Verbe,Sleep
Kubika,Reveiller,wake,Word wakker,Vuka,1.0,Positif,Verbe,Wake
Kukanga,Fermer,close,Sluit,Vala,4.0,Positif,Verbe,Close
Kulomba,Demander,ask,Vra,Buza,5.0,Positif,Verbe,Ask
Kualuja,Remettre,to put back,Hanteer,Thumela,2.0,Positif,Verbe,To put back
Kuteka,Deposer,deposit,Afsit,Idiphozithi,1.0,Positif,Verbe,Deposit
Kulamba,Preparer,prepare,Voorberei,Lungiselela,3.0,Positif,Verbe,Prepare
Kutua,Manupuler,manipulate,Hanteer,Ukusebenzisa kabi,3.0,Positif,Verbe,Handle
Luntandala,Internet,Internet,Internet,I-inthanethi,2.0,Positif,Mot,Internet
Kutshiangunya,Mancher,to handle,Bestuur,Umkhono,3.0,Positif,Verbe,Mancher
Kuduilulula,Ruminer,to ruminate,Herkouer,I-Ruminate,4.0,Positif,Verbe,Ruminate
Kunyema,Courir,run,Hardloop,Ukugijima,1.0,Positif,Verbe,Run
kuipata,Chasser,to hunt,Jag,Ukuzingela,-7.0,Negatif,Verbe,Hunt
Kunvua,Comprendre,to understand,Verstaan,Qonda,2.0,Positif,Verbe,To understand
Kukupula,Essuyer,to wipe,Vee,Sula,1.0,Positif,Verbe,To wipe
Mundindimbi,Ombre,shadow,Skaduwee,Isithunzi,1.0,Positif,Mot,Shadow
Muedi,Barbe,beard,Baard,Intshebe,1.0,Positif,Mot,Beard
Nsuki,Cheveux,hair,Hare,Izinwele,2.0,Positif,Mot,Hair
Kudiabakena,Lamanter,manatee,Manate,I-Lamanter,-5.0,Negatif,Verbe,Manter
Kuzakala,Trambler,trambler,Trap,I-Trambler,-9.0,Negatif,Verbe,Trambler
kulaba,frotter,rub,vryf,gcoba,4.0,Positif,Verbe,rub
kutukakaja,separer,separate,skei,hlukanisa,4.0,Positif,Verbe,separate
kuakadila,embrasser,to kiss,Omhels,kiss,4.0,Positif,Mot,to kiss
kutentakaja,entasser,pile up,Stapel,i-cram,4.0,Positif,Verbe,pile up
kubuidikija,couvrir,cover,bedek,ikhava,4.0,Positif,Verbe,cover
kuibaka,construire,build,bou,yakha,4.0,Positif,Verbe,build
kuitaba,accepter,accept,aanvaar,Yamukela,4.0,Positif,Verbe,accept
kubenga,refuser,refuse,weier,Enqaba,-2.0,Negatif,Verbe,refuse
kudifuanyikijila,imaginer,imagine,verbeel jou,cabanga,2.0,Positif,Verbe,imagine
tshisokomenu,refuge,refuge,skuiling,indawo yokukhosela,2.0,Positif,Verbe,refuge
kunzulula,ouvrir,open,oop,Vula,2.0,Positif,Verbe,open
kujandula,decouvrir,discover,ontdek,thola,2.0,Positif,Verbe,discover
kuvuluka,rappeler,remind,herinner,Phinda udayele,2.0,Positif,Verbe,remind
kupuamoyo,oublier,forget,vergeet,khohlwa,2.0,Positif,Verbe,forget
kufunda,ecrire,to write,skryf,bhala,2.0,Positif,Verbe,to write
kusumba,acheter,buy,koop,thenga,2.0,Positif,Verbe,buy
nvunda,tourbillon,whirlwind,warrelwind,i-tourbillon,-4.0,Negatif,Mot,whirlpool
nkuba,foudre,lightning,weerlig,umbani,-4.0,Negatif,Mot,lightning
dikubakuba,tonnere,thunder,donderweer,i-tonnere,-4.0,Negatif,Mot,thunder
tshiululu,nuage,cloud,wolk,ifu,1.0,Positif,Mot,cloud
malemba,orage,thunderstorm,storm,ukuduma kwezulu,4.0,Positif,Mot,thunderstorm
kufunda,accuser,accuse,beskuldig,ukumangalela,-2.0,Negatif,Verbe,accuse
kusungulula,discrimination,discrimination,diskriminasie,ukubandlulula,-3.0,Negatif,Mot,discrimination
kuikisha,reposer,to rest,rus,ukuphumula,1.0,Positif,Verbe,to rest
kulomba,mendier,beg,bedel,ukunxusa,-5.0,Negatif,Verbe,beg
mudiavi,gourmant,gourmet,gulsig,abahahayo,2.0,Positif,Mot,gourmet
kuadija,etaler,spread,versprei,i-spreader,2.0,Positif,Verbe,spread
kututula,epoussetter,dust,stof,uthuli,2.0,Positif,Verbe,dust off
kulumbuluisha,juger,judge,regter,ijaji,2.0,Positif,Verbe,judge
ndumbulula,juge,judge,oordeel,ijaji,2.0,Positif,Mot,judge
tshimpumpu,grippe,flu,griep,umkhuhlane,-3.0,Negatif,Mot,flu
mbangidi,commencement,beginning,begin,qala,6.0,Positif,Mot,beginning
kuambula,reprendre,to resume,hervat,qhubeka futhi,3.0,Positif,Verbe,to resume
ngena,enfer,hell,hel,isihogo,-9.0,Negatif,Mot,hell
kubuela,entrer,enter,gaan binne,faka,1.0,Positif,Verbe,enter
muntu,personne,person,persone,umuntu,1.0,Positif,Mot,person
kupatuka,sortir,to go out,uitgang,phuma,1.0,Positif,Verbe,to go out
dididishi,fenetre,window,venster,iwindi,1.0,Positif,Mot,window
muishi,fumée,smoke,rook,intuthu,-1.0,Negatif,Mot,smoke
muiishi,pilon,pestle,stamper,isitikha sesigubhu,2.0,Positif,Mot,pestle
lupepela,air,air,lug,umoya,4.0,Positif,Mot,air
mukuna,montagne,mountain,berg,intaba,4.0,Positif,Mot,mountain
kulaamba,ramper,crawl,kruip,khasa,4.0,Positif,Verbe,crawl
Kulamba,preparer,prepare,voorberei,lungiselela,4.0,Positif,Verbe,prepare
kubombeka,tramper,tramp,boemelaar,umshini wokunyathela,4.0,Positif,Verbe,soak
kukosa,trancher,slice,sny,isiqeshana,4.0,Positif,Verbe,slice
kupanda,dechirer,rip,skeur,i-dechirer,-3.0,Negatif,Verbe,rip
kupemba,moucher,blow your nose,blaas,futha ikhala lakho,4.0,Positif,Verbe,blow
kusaminamoyi,manquer,miss,mis,miss,-2.0,Negatif,Verbe,miss
kujila,chamailler,to bicker,rusie,ukuphikisana,-1.0,Negatif,Verbe,squabble
kukokangana,tirailler,to tug,sleep,i-tug,-6.0,Negatif,Verbe,skirmish
kukoka,tirer,to pull,trek,donsa,2.0,Positif,Verbe,to pull
kuinama,incliner,tilt,kantel,tilt,2.0,Positif,Verbe,tilt
kumbula,creuser,dig,grawe,gubha,2.0,Positif,Verbe,dig
kutubula,trouer,to pierce,gat,imbobo,2.0,Positif,Verbe,hole
kukonya,gratter,scratch,skraap,ukuklwebheka,-1.0,Negatif,Verbe,scratch
