id,text,label,lang
1,On aime arrange.,positive,fr
2,"rearrange, c'est une bonne idée.",positive,fr
3,"Il faut parle, c'est utile.",positive,fr
4,"Il faut reparle, c'est utile.",positive,fr
5,"remet, c'est une bonne idée.",positive,fr
6,"Il faut dis, c'est utile.",positive,fr
7,"Il faut supperpose, c'est utile.",positive,fr
8,"Il faut ramasse, c'est utile.",positive,fr
9,"Il faut depeche, c'est utile.",positive,fr
10,"Il faut repete, c'est utile.",positive,fr
11,On aime repond.,positive,fr
12,"prend, c'est une bonne idée.",positive,fr
13,"reprend, c'est une bonne idée.",positive,fr
14,habits — c'est super !,positive,fr
15,blague — c'est super !,positive,fr
16,"Honnêtement, vetements, c'est mauvais.",negative,fr
17,"Franchement, larmes, c'est bien.",positive,fr
18,"entre, c'est une bonne idée.",positive,fr
19,"Il faut lumiere, c'est utile.",positive,fr
20,On n'aime pas terre.,negative,fr
21,"C'est caboche, j'adore.",positive,fr
22,On aime creature.,positive,fr
23,ecouteurs — c'est super !,positive,fr
24,dot — c'est super !,positive,fr
25,nuage — c'est super !,positive,fr
26,On n'aime pas desordre.,negative,fr
27,fleurs — c'est super !,positive,fr
28,"plier, c'est une bonne idée.",positive,fr
29,verité — c'est super !,positive,fr
30,"Franchement, poid, c'est bien.",positive,fr
31,"Franchement, sainteté, c'est bien.",positive,fr
32,"C'est imbecilité, je déteste.",negative,fr
33,"C'est gens, j'adore.",positive,fr
34,"C'est saints, j'adore.",positive,fr
35,"Franchement, anges, c'est bien.",positive,fr
36,"Honnêtement, vol, c'est mauvais.",negative,fr
37,ferme — c'est nul.,negative,fr
38,"C'est sexe, j'adore.",positive,fr
39,"C'est lit, j'adore.",positive,fr
40,fertile — c'est super !,positive,fr
41,"Franchement, bateau, c'est bien.",positive,fr
42,"Franchement, farine, c'est bien.",positive,fr
43,"admirer, c'est une bonne idée.",positive,fr
44,On aime adopter.,positive,fr
45,"agiter, ce n'est pas recommandé.",negative,fr
46,"annoncer, c'est une bonne idée.",positive,fr
47,"Il faut anticiper, c'est utile.",positive,fr
48,"Il faut assembler, c'est utile.",positive,fr
49,"Honnêtement, automne, c'est mauvais.",negative,fr
50,"Honnêtement, haine, c'est mauvais.",negative,fr
51,On aime repasser.,positive,fr
52,"C'est pitié, j'adore.",positive,fr
53,On aime enumerer.,positive,fr
54,"Éviter de frapper, ce n'est pas bien.",negative,fr
55,On aime marcher.,positive,fr
56,On aime rigoler.,positive,fr
57,"Il faut trouver, c'est utile.",positive,fr
58,"accomplir, c'est une bonne idée.",positive,fr
59,"Il faut remplir, c'est utile.",positive,fr
60,"Franchement, promesse, c'est bien.",positive,fr
61,"donner, c'est une bonne idée.",positive,fr
