CILUBA,French,English,Afrikaans,Zulu,Score,Sentiment,Nature,English_Translation,Afrikaans_Translation
Akaja,Arrange,arrange,Rangskik,Hlela,1.0,Positif,Verbe,Arrange,Rangskik
Akajilula,Rearrange,rearrange,Herrangskik,Hlela kabusha,1.0,Positif,Verbe,Rearrange,Herrangskik
Akula,Parle,speak,Praat,Uyakhuluma,2.0,Positif,Verbe,Speak,Praat
Akulula,Reparle,speak again,Praat,Iphinde ikhulume,2.0,Positif,Verbe,Speak again,Praat weer
Aluja,Remet,hands over,Hande,Isaphulelo,3.0,Positif,Verbe,Hand over,Oorhandig
Amba,Dis,say,Dis,I-DIS,3.0,Positif,Verbe,Say,Sê
Ambakaja,Supperpose,superimpose,Veronderstel,Isidlo sakusihlwa,3.0,Positif,Verbe,Superpose,Superponeer
Ambula,Ramasse,pick up,Tel op,Ukuthatha,4.0,Positif,Verbe,Pick up,Afhaal
Ambuluja,Depeche,dispatch,Depeche,I-Depeche,4.0,Positif,Verbe,News report,Nuusberig
Ambulula,Repete,repeated,Herhaal,Phinda,9.0,Positif,Verbe,Repeated,Herhaal
Andamuna,Repond,answers,Antwoorde,Phendula,9.0,Positif,Verbe,Answers,Antwoorde
Angata,Prend,takes,Neem,Kuthatha,9.0,Positif,Verbe,Takes,Neem
Angatulula,Reprend,resumes,Hervat,Uyaqhubeka,9.0,Positif,Verbe,Start again,Begin weer
Bilamba,Habits,clothes,Klere,Izingubo,8.0,Positif,Mot,Clothes,Klere
Bilela,Blague,joke,Grap,Amahlaya,8.0,Positif,Mot,Joke,Grap
Biluatu,Vetements,clothes,Klere,Izingubo zokugqoka,-1.0,Negatif,Mot,Clothes,Klere
Binsonji,Larmes,tears,Trane,Izinyembezi,7.0,Positif,Mot,Tears,Trane
Buela,Entre,between,Kom in,Phakathi,7.0,Positif,Verbe,Between,Tussen
Bukenka,Lumiere,light,Lig,I-Lumiere,7.0,Positif,Mot,Light,Lig
Buloba,Terre,earth,Aarde,Umhlaba,-1.0,Negatif,Mot,Earth,Aarde
Busuyi,Caboche,noggin,Kop,I-Caboche,1.0,Positif,Mot,Caboche,Caboche
Bufuki,Creature,creature,Skepsel,Isidalwa,1.0,Positif,Mot,Creature,Skepsel
Buinvuindi,Ecouteurs,headphones,Oorfone,Ama-headphone,3.0,Positif,Mot,Headphones,Oorfone
Biuma,Dot,dowry,Bruidskat,Amachashazi,4.0,Positif,Mot,Dowry,Bruidskat
Biululu,Nuage,cloud,Wolk,I-Cloud,5.0,Positif,Mot,Cloud,Wolk
