CILUBA,French,Afrikaans,Zulu,Score,Sentiment,Nature,English_Translation,Tsonga_Translation
Akaja,Arrange,Rangskik,Hlela,1.0,Positif,Verbe,Arrange,Longoloxa
Akajilula,Rearrange,Herrangskik,Hlela kabusha,1.0,Positif,Verbe,Rearrange,Hlela hi vuntshwa
Akula,Parle,Praat,Uyakhuluma,2.0,Positif,Verbe,Speak,Vulavula
Akulula,Reparle,Praat,Iphinde ikhulume,2.0,Positif,Verbe,Speak again,Vulavula nakambe
Aluja,Remet,Hande,Isaphulelo,3.0,Positif,Verbe,Hand over,Nyika nyiketa
Amba,Dis,Dis,I-DIS,3.0,Positif,Verbe,Say,Vula
Ambakaja,Supperpose,Veronderstel,Isidlo sakusihlwa,3.0,Positif,Verbe,Superpose,Ehenhla ka xiyimo xa le henhla
Ambula,Ramasse,Tel op,Ukuthatha,4.0,Positif,Verbe,Pick up,Tlakula
Ambuluja,Depeche,Depeche,I-Depeche,4.0,Positif,Verbe,News report,Xiviko xa mahungu
Ambulula,Repete,Herhaal,Phinda,9.0,Positif,Verbe,Repeated,Ku phindha-phindhiwa
Andamuna,Repond,Antwoorde,Phendula,9.0,Positif,Verbe,Answers,Tinhlamulo
Angata,Prend,Neem,Kuthatha,9.0,Positif,Verbe,Takes,Swi teka
Angatulula,Reprend,Hervat,Uyaqhubeka,9.0,Positif,Verbe,Start again,Sungula nakambe
Bilamba,Habits,Klere,Izingubo,8.0,Positif,Mot,Clothes,Swiambalo
Bilela,Blague,Grap,Amahlaya,8.0,Positif,Mot,Joke,Fenya
Biluatu,Vetements,Klere,Izingubo zokugqoka,-1.0,Negatif,Mot,Clothes,Swiambalo
Binsonji,Larmes,Trane,Izinyembezi,7.0,Positif,Mot,Tears,Mihloti
Buela,Entre,Kom in,Phakathi,7.0,Positif,Verbe,Between,Exikarhi
Bukenka,Lumiere,Lig,I-Lumiere,7.0,Positif,Mot,Light,Rivoni
Buloba,Terre,Aarde,Umhlaba,-1.0,Negatif,Mot,Earth,Misava
Busuyi,Caboche,Kop,I-Caboche,1.0,Positif,Mot,Caboche,Caboche
Bufuki,Creature,Skepsel,Isidalwa,1.0,Positif,Mot,Creature,Xivumbiwa
Buinvuindi,Ecouteurs,Oorfone,Ama-headphone,3.0,Positif,Mot,Headphones,Switwi swa le tindleveni
Biuma,Dot,Bruidskat,Amachashazi,4.0,Positif,Mot,Dowry,Vukati bya vukati
Biululu,Nuage,Wolk,I-Cloud,5.0,Positif,Mot,Cloud,Papa
Binvundu,Desordre,Versteuring,Ugwadule,-3.0,Negatif,Mot,Mess,Hansahansa
Bilongu,Fleurs,Blomme,Izimbali,6.0,Positif,Mot,Flowers,Swiluva
Kubunya,Plier,Vou,Songa,8.0,Positif,Verbe,Bend,Khotsa
Bulela,Verité,Waarheid,Iqiniso,8.0,Positif,Mot,Truth,Ntiyiso
Bujitu,Poid,Gewig,I-poid,9.0,Positif,Mot,Weight,Ntikelo
Bunsantu,Sainteté,Heiligheid,Ubungcwele,8.0,Positif,Mot,Holiness,Ku Kwetsima
