French_norm,Nature_std,Score_int,Sentiment_std,priority,english,notes,source,qa_status_translate
abaissement,other,3.0,positive,medium,lowering,auto:gcp,gcp,ok
abandon,other,4.0,positive,medium,abandon,auto:gcp,gcp,ok
abandon,verb,3.0,positive,medium,abandon,auto:gcp,gcp,ok
abandonner,verb,4.0,positive,medium,give up,auto:gcp,gcp,ok
abattu,other,-6.0,negative,medium,shot dead,auto:gcp,gcp,ok
abeille,other,5.0,positive,medium,bee,auto:gcp,gcp,ok
abhorrer,verb,4.0,positive,medium,abhor,auto:gcp,gcp,ok
abimer,verb,-4.0,negative,medium,to damage,auto:gcp,gcp,ok
abolir,verb,4.0,positive,medium,abolish,auto:gcp,gcp,ok
abondance,other,3.0,positive,medium,abundance,auto:gcp,gcp,ok
abondance,verb,4.0,positive,medium,abundance,auto:gcp,gcp,ok
abrogation,other,3.0,positive,medium,repeal,auto:gcp,gcp,ok
absence,other,-4.0,negative,medium,absence,auto:gcp,gcp,ok
absinthe,other,-3.0,negative,medium,absinthe,auto:gcp,gcp,ok
absolument,other,3.0,positive,medium,absolutely,auto:gcp,gcp,ok
abstinence,other,4.0,positive,medium,abstinence,auto:gcp,gcp,ok
abuser,verb,4.0,positive,medium,abuse,auto:gcp,gcp,ok
abîmé,verb,4.0,positive,medium,abyss,auto:gcp,gcp,ok
accharge,other,-6.0,negative,medium,charge,auto:gcp,gcp,ok
accompagner,verb,4.0,positive,medium,to accompany,auto:gcp,gcp,ok
accomplir,verb,4.0,positive,medium,accomplish,auto:gcp,gcp,ok
accomplissement,other,3.0,positive,medium,accomplishment,auto:gcp,gcp,ok
accord,other,4.0,positive,medium,agreement,auto:gcp,gcp,ok
accoucher,other,-3.0,negative,medium,give birth,auto:gcp,gcp,ok
accoucher,verb,4.0,positive,medium,give birth,auto:gcp,gcp,ok
accroissement,other,3.0,positive,medium,increase,auto:gcp,gcp,ok
accuser,other,4.0,positive,medium,accuse,auto:gcp,gcp,ok
accuser,verb,-4.0,negative,medium,accuse,auto:gcp,gcp,ok
accélérer,verb,4.0,positive,medium,accelerate,auto:gcp,gcp,ok
acquisition,other,3.0,positive,medium,acquisition,auto:gcp,gcp,ok
acquitter,verb,3.0,positive,medium,acquit,auto:gcp,gcp,ok
acte,other,4.0,positive,medium,act,auto:gcp,gcp,ok
action,other,3.0,positive,medium,action,auto:gcp,gcp,ok
activité,other,3.0,positive,medium,activity,auto:gcp,gcp,ok
adapté,other,3.0,positive,medium,adapted,auto:gcp,gcp,ok
