CILUBA,French,Afrikaans,Score,Sentiment,Nature,English_Translation
Akaja,Arrange,Rangskik,1.0,Positif,Verbe,Arrange
Akajilula,Rearrange,Herrangskik,1.0,Positif,Verbe,Rearrange
Akula,Parle,Praat,2.0,Positif,Verbe,Speak
Akulula,Reparle,Praat,2.0,Positif,Verbe,Speak again
Aluja,Remet,Hande,3.0,Positif,Verbe,Hand over
Amba,Dis,Dis,3.0,Positif,Verbe,Say
Ambakaja,Supperpose,Veronderstel,3.0,Positif,Verbe,Superpose
Ambula,Ramasse,Tel op,4.0,Positif,Verbe,Pick up
Ambuluja,Depeche,Depeche,4.0,Positif,Verbe,News report
Ambulula,Repete,Herhaal,9.0,Positif,Verbe,Repeated
Andamuna,Repond,Antwoorde,9.0,Positif,Verbe,Answers
Angata,Prend,Neem,9.0,Positif,Verbe,Takes
Angatulula,Reprend,Hervat,9.0,Positif,Verbe,Start again
Bilamba,Habits,Klere,8.0,Positif,Mot,Clothes
Bilela,Blague,Grap,8.0,Positif,Mot,Joke
Biluatu,Vetements,Klere,-1.0,Negatif,Mot,Clothes
Binsonji,Larmes,Trane,7.0,Positif,Mot,Tears
Buela,Entre,Kom in,7.0,Positif,Verbe,Between
Bukenka,Lumiere,Lig,7.0,Positif,Mot,Light
Buloba,Terre,Aarde,-1.0,Negatif,Mot,Earth
Busuyi,Caboche,Kop,1.0,Positif,Mot,Caboche
Bufuki,Creature,Skepsel,1.0,Positif,Mot,Creature
Buinvuindi,Ecouteurs,Oorfone,3.0,Positif,Mot,Headphones
Biuma,Dot,Bruidskat,4.0,Positif,Mot,Dowry
Biululu,Nuage,Wolk,5.0,Positif,Mot,Cloud
Binvundu,Desordre,Versteuring,-3.0,Negatif,Mot,Mess
Bilongu,Fleurs,Blomme,6.0,Positif,Mot,Flowers
Kubunya,Plier,Vou,8.0,Positif,Verbe,Bend
Bulela,Verité,Waarheid,8.0,Positif,Mot,Truth
Bujitu,Poid,Gewig,9.0,Positif,Mot,Weight
Bunsantu,Sainteté,Heiligheid,8.0,Positif,Mot,Holiness
Bunsenji,Imbecilité,Imbecility,-3.0,Negatif,Mot,Imbecility
Bantu,gens,Mense,1.0,Positif,Mot,people
Bansatu,Saints,Heiliges,9.0,Positif,Mot,Saints
Banjelu,Anges,Engele,1.0,Positif,Mot,Angels
Buinvi,Vol,Diefstal,-9.0,Negatif,Mot,Flight
Buikila,Ferme,Ferm,-8.0,Negatif,Mot,Farm
Butaka,Sexe,Seks,3.0,Positif,Mot,Sex
Bulalu,Lit,Bed,2.0,Positif,Mot,Bed
Bufuka,Fertile,Vrugbare,6.0,Positif,Mot,Fertile
Buatu,Bateau,Boot,5.0,Positif,Mot,Boat
Bukula,Farine,Meel,8.0,Positif,Mot,Flour
Kuanyisha,Admirer,Bewonder,9.0,Positif,Verbe,Admire
Kupiana,Adopter,Neem,1.0,Positif,Verbe,Adopt
Kuvundula,Agiter,Roer,-8.0,Negatif,Verbe,Shake
Kuambila,Annoncer,Kondig aan,4.0,Positif,Verbe,Announce
Kubabidila,Anticiper,Verwag,5.0,Positif,Verbe,Anticipate
Kusanga,Assembler,Samesteller,9.0,Positif,Verbe,Assemble
Mushipu,Automne,Samesteller,-5.0,Negatif,Mot,Autumn
Lukinu,Haine,Haat,-8.0,Negatif,Mot,Hate
Kukoma,Repasser,Yster,3.0,Positif,Verbe,Ironing
Lusa,Pitié,Jammerte,4.0,Positif,Mot,Pity
Kutela,Enumerer,Lys,6.0,Positif,Verbe,List
Kututa,Frapper,Slaan,-5.0,Negatif,Verbe,Hit
Kuenda,Marcher,Loop,7.0,Positif,Verbe,To walk
Kuseka,Rigoler,Lag,3.0,Positif,Verbe,To laugh
Kupeta,Trouver,Vind,7.0,Positif,Verbe,Find
Kukumbaja,Accomplir,Bereik,9.0,Positif,Verbe,Accomplish
Kuhuja,Remplir,Vul,1.0,Positif,Verbe,Fill
Mulayi,Promesse,Belofte,6.0,Positif,Mot,Promise
Kupesha,Donner,Gee,1.0,Positif,Verbe,Give
Kuja,Danser,Dans,1.0,Positif,Verbe,To dance
Kuimba,Chanter,Sing,5.0,Positif,Verbe,Sing
Kupangila,Rater,Mej.,-9.0,Negatif,Verbe,Miss
Kupangila,Manquer,Gebrek,-9.0,Negatif,Verbe,Miss
Tshikosu,Raccourcis,Kortpaaie,4.0,Positif,Mot,Shortcuts
Kututa,Fouetter,Sweep,-8.0,Negatif,Verbe,Whisk
Dimanya,Savoir,Weet,6.0,Positif,Verbe,Know
Kulala,Dormir,Slaap,2.0,Positif,Verbe,Sleep
Kubika,Reveiller,Word wakker,1.0,Positif,Verbe,Wake
Kukanga,Fermer,Sluit,4.0,Positif,Verbe,Close
Kulomba,Demander,Vra,5.0,Positif,Verbe,Ask
Kualuja,Remettre,Hanteer,2.0,Positif,Verbe,To put back
Kuteka,Deposer,Afsit,1.0,Positif,Verbe,Deposit
Kulamba,Preparer,Voorberei,3.0,Positif,Verbe,Prepare
Kutua,Manupuler,Hanteer,3.0,Positif,Verbe,Handle
Luntandala,Internet,Internet,2.0,Positif,Mot,Internet
Kutshiangunya,Mancher,Bestuur,3.0,Positif,Verbe,Mancher
Kuduilulula,Ruminer,Herkouer,4.0,Positif,Verbe,Ruminate
Kunyema,Courir,Hardloop,1.0,Positif,Verbe,Run
kuipata,Chasser,Jag,-7.0,Negatif,Verbe,Hunt
Kunvua,Comprendre,Verstaan,2.0,Positif,Verbe,To understand
Kukupula,Essuyer,Vee,1.0,Positif,Verbe,To wipe
Mundindimbi,Ombre,Skaduwee,1.0,Positif,Mot,Shadow
Muedi,Barbe,Baard,1.0,Positif,Mot,Beard
Nsuki,Cheveux,Hare,2.0,Positif,Mot,Hair
Kudiabakena,Lamanter,Manate,-5.0,Negatif,Verbe,Manter
Kuzakala,Trambler,Trap,-9.0,Negatif,Verbe,Trambler
kulaba,frotter,vryf,4.0,Positif,Verbe,rub
kutukakaja,separer,skei,4.0,Positif,Verbe,separate
kuakadila,embrasser,Omhels,4.0,Positif,Mot,to kiss
kutentakaja,entasser,Stapel,4.0,Positif,Verbe,pile up
kubuidikija,couvrir,bedek,4.0,Positif,Verbe,cover
kuibaka,construire,bou,4.0,Positif,Verbe,build
kuitaba,accepter,aanvaar,4.0,Positif,Verbe,accept
kubenga,refuser,weier,-2.0,Negatif,Verbe,refuse
kudifuanyikijila,imaginer,verbeel jou,2.0,Positif,Verbe,imagine
tshisokomenu,refuge,skuiling,2.0,Positif,Verbe,refuge
kunzulula,ouvrir,oop,2.0,Positif,Verbe,open
kujandula,decouvrir,ontdek,2.0,Positif,Verbe,discover
kuvuluka,rappeler,herinner,2.0,Positif,Verbe,remind
kupuamoyo,oublier,vergeet,2.0,Positif,Verbe,forget
kufunda,ecrire,skryf,2.0,Positif,Verbe,to write
kusumba,acheter,koop,2.0,Positif,Verbe,buy
nvunda,tourbillon,warrelwind,-4.0,Negatif,Mot,whirlpool
nkuba,foudre,weerlig,-4.0,Negatif,Mot,lightning
dikubakuba,tonnere,donderweer,-4.0,Negatif,Mot,thunder
tshiululu,nuage,wolk,1.0,Positif,Mot,cloud
malemba,orage,storm,4.0,Positif,Mot,thunderstorm
kufunda,accuser,beskuldig,-2.0,Negatif,Verbe,accuse
kusungulula,discrimination,diskriminasie,-3.0,Negatif,Mot,discrimination
kuikisha,reposer,rus,1.0,Positif,Verbe,to rest
kulomba,mendier,bedel,-5.0,Negatif,Verbe,beg
mudiavi,gourmant,gulsig,2.0,Positif,Mot,gourmet
kuadija,etaler,versprei,2.0,Positif,Verbe,spread
kututula,epoussetter,stof,2.0,Positif,Verbe,dust off
kulumbuluisha,juger,regter,2.0,Positif,Verbe,judge
ndumbulula,juge,oordeel,2.0,Positif,Mot,judge
tshimpumpu,grippe,griep,-3.0,Negatif,Mot,flu
mbangidi,commencement,begin,6.0,Positif,Mot,beginning
kuambula,reprendre,hervat,3.0,Positif,Verbe,to resume
ngena,enfer,hel,-9.0,Negatif,Mot,hell
kubuela,entrer,gaan binne,1.0,Positif,Verbe,enter
muntu,personne,persone,1.0,Positif,Mot,person
kupatuka,sortir,uitgang,1.0,Positif,Verbe,to go out
dididishi,fenetre,venster,1.0,Positif,Mot,window
muishi,fumée,rook,-1.0,Negatif,Mot,smoke
muiishi,pilon,stamper,2.0,Positif,Mot,pestle
lupepela,air,lug,4.0,Positif,Mot,air
mukuna,montagne,berg,4.0,Positif,Mot,mountain
kulaamba,ramper,kruip,4.0,Positif,Verbe,crawl
Kulamba,preparer,voorberei,4.0,Positif,Verbe,prepare
kubombeka,tramper,boemelaar,4.0,Positif,Verbe,soak
kukosa,trancher,sny,4.0,Positif,Verbe,slice
kupanda,dechirer,skeur,-3.0,Negatif,Verbe,rip
kupemba,moucher,blaas,4.0,Positif,Verbe,blow
kusaminamoyi,manquer,mis,-2.0,Negatif,Verbe,miss
kujila,chamailler,rusie,-1.0,Negatif,Verbe,squabble
kukokangana,tirailler,sleep,-6.0,Negatif,Verbe,skirmish
kukoka,tirer,trek,2.0,Positif,Verbe,to pull
kuinama,incliner,kantel,2.0,Positif,Verbe,tilt
kumbula,creuser,grawe,2.0,Positif,Verbe,dig
kutubula,trouer,gat,2.0,Positif,Verbe,hole
kukonya,gratter,skraap,-1.0,Negatif,Verbe,scratch
tshivulukilu,souvenir,onthou,5.0,Positif,Verbe,memory
kutonda,repentir,bekeer,6.0,Positif,Verbe,repentance
kutela,coudre,naai,2.0,Positif,Verbe,sew
kupela,moudre,maal,1.0,Positif,Verbe,grind
kusuma,mordre,byt,-2.0,Negatif,Verbe,to bite
kudima,cultivre,kweek,3.0,Positif,Verbe,cultivate
kukuna,semer,saai,2.0,Positif,Verbe,sowing
kuhola,recolter,oes,4.0,Positif,Verbe,harvest
mulami,gardien,wag,4.0,Positif,Mot,guardian
kuihila,sarcle,skoffel,4.0,Positif,Mot,weed
kuhakula,castrer,kastreer,4.0,Positif,Verbe,castrate
kutengula,circonsir,omskryf,4.0,Positif,Verbe,circumscribe
kunungana,murmurer,murmureer,4.0,Positif,Verbe,whisper
kubobesha,murmur,murmureer,4.0,Positif,Verbe,whisper
kuluatshisha, faire habiller,doen aantrek,4.0,Positif,Verbe, dress
kuvuadika,habiller,aantrek,4.0,Positif,Verbe,dress
munganga,infirmier,verpleegster,4.0,Positif,Mot,nurse
kumanyisha,informer,inlig,4.0,Positif,Verbe,inform
kunvuija,expliquer,verduidelik,4.0,Positif,Verbe,explain
kunua,boire,drink,4.0,Positif,Verbe,drink
kusangisha,additionner,byvoeg,4.0,Positif,Verbe,add
nvita,guerre,oorlog,-7.0,Negatif,Mot,war
kujika,enterrer,begrawe,-5.0,Negatif,Verbe,bury
kuakaja,arranger,reël,4.0,Positif,Verbe,arrange
kulela,accoucher,gee geboorte,4.0,Positif,Verbe,giving birth
kulengeja,embelir,versier,4.0,Positif,Verbe,beautify
kukezula,purifier,suiwer,4.0,Positif,Verbe,purify
kusukula,netoyer,skoonmaak,4.0,Positif,Verbe,clean
kabalamatuku,calendrier,kalender,4.0,Positif,Mot,calendar
kubueja,inserer,voeg in,4.0,Positif,Verbe,insert
Kuludika,adresser,aanspreek,4.0,Positif,Verbe,address
Kubela,eduquer,opvoed,4.0,Positif,Verbe,educate
Tshienzedi,acte,optree,4.0,Positif,Mot,act
Kushimuna,vaincre,oorwin,4.0,Positif,Verbe,defeat
Kutumbisha,louer,prys,4.0,Positif,Verbe,to rent out
kukukuila,adorer,aanbid,4.0,Positif,Verbe,worship
Kutangalaja,propager,propageer,4.0,Positif,Verbe,propagate
Dizakala,tremblement,bewing,4.0,Positif,Verbe,trembling
Kuzakala,trembler,bewe,4.0,Positif,Verbe,tremble
Kutshibuka,fracturer,fraktuur,-5.0,Negatif,Verbe,fracture
Kukuta,rassasier,versadig,3.0,Positif,Verbe,satiate
Kujima,eteindre,blus,3.0,Positif,Verbe,turn off
Kutemesha,allumer,lig,3.0,Positif,Verbe,to light up
kusemena,approcher,benadering,3.0,Positif,Verbe,approach
Kuntekela,observer,waarneem,3.0,Positif,Verbe,observe
Kufangikisha,ressembler,lyk soos,3.0,Positif,Verbe,look like
