CILUBA,French,French_norm,Score,Score_int,Sentiment,Sentiment_std,Nature,Nature_std,qa_status
Akaja,Arrange,arrange,1.0,1.0,Positif,positive,Verbe,verb,ok
Akajilula,Rearrange,rearrange,1.0,1.0,Positif,positive,Verbe,verb,ok
Akula,Parle,parle,2.0,2.0,Positif,positive,Verbe,verb,ok
Akulula,Reparle,reparle,2.0,2.0,Positif,positive,Verbe,verb,ok
Aluja,Remet,remet,3.0,3.0,Positif,positive,Verbe,verb,ok
Amba,Dis,dis,3.0,3.0,Positif,positive,Verbe,verb,ok
Ambakaja,Supperpose,supperpose,3.0,3.0,Positif,positive,Verbe,verb,ok
Ambula,Ramasse,ramasse,4.0,4.0,Positif,positive,Verbe,verb,ok
Ambuluja,Depeche,depeche,4.0,4.0,Positif,positive,Verbe,verb,ok
Ambulula,Repete,repete,9.0,9.0,Positif,positive,Verbe,verb,ok
Andamuna,Repond,repond,9.0,9.0,Positif,positive,Verbe,verb,ok
Angata,Prend,prend,9.0,9.0,Positif,positive,Verbe,verb,ok
Angatulula,Reprend,reprend,9.0,9.0,Positif,positive,Verbe,verb,ok
Bilamba,Habits,habits,8.0,8.0,Positif,positive,Mot,other,ok
Bilela,Blague,blague,8.0,8.0,Positif,positive,Mot,other,ok
Biluatu,Vetements,vetements,-1.0,-1.0,Negatif,negative,Mot,other,ok
Binsonji,Larmes,larmes,7.0,7.0,Positif,positive,Mot,other,ok
Buela,Entre,entre,7.0,7.0,Positif,positive,Verbe,verb,ok
Bukenka,Lumiere,lumiere,7.0,7.0,Positif,positive,Mot,other,ok
Buloba,Terre,terre,-1.0,-1.0,Negatif,negative,Mot,other,ok
Busuyi,Caboche,caboche,1.0,1.0,Positif,positive,Mot,other,ok
Bufuki,Creature,creature,1.0,1.0,Positif,positive,Mot,other,ok
Buinvuindi,Ecouteurs,ecouteurs,3.0,3.0,Positif,positive,Mot,other,ok
Biuma,Dot,dot,4.0,4.0,Positif,positive,Mot,other,ok
Biululu,Nuage,nuage,5.0,5.0,Positif,positive,Mot,other,ok
Binvundu,Desordre,desordre,-3.0,-3.0,Negatif,negative,Mot,other,ok
Bilongu,Fleurs,fleurs,6.0,6.0,Positif,positive,Mot,other,ok
Kubunya,Plier,plier,8.0,8.0,Positif,positive,Verbe,verb,ok
Bulela,Verité,verité,8.0,8.0,Positif,positive,Mot,other,ok
Bujitu,Poid,poid,9.0,9.0,Positif,positive,Mot,other,ok
Bunsantu,Sainteté,sainteté,8.0,8.0,Positif,positive,Mot,other,ok
Bunsenji,Imbecilité,imbecilité,-3.0,-3.0,Negatif,negative,Mot,other,ok
Bantu,gens,gens,1.0,1.0,Positif,positive,Mot,other,ok
Bansatu,Saints,saints,9.0,9.0,Positif,positive,Mot,other,ok
Banjelu,Anges,anges,1.0,1.0,Positif,positive,Mot,other,ok
Buinvi,Vol,vol,-9.0,-9.0,Negatif,negative,Mot,other,ok
Buikila,Ferme,ferme,-8.0,-8.0,Negatif,negative,Mot,other,ok
Butaka,Sexe,sexe,3.0,3.0,Positif,positive,Mot,other,ok
Bulalu,Lit,lit,2.0,2.0,Positif,positive,Mot,other,ok
Bufuka,Fertile,fertile,6.0,6.0,Positif,positive,Mot,other,ok
Buatu,Bateau,bateau,5.0,5.0,Positif,positive,Mot,other,ok
Bukula,Farine,farine,8.0,8.0,Positif,positive,Mot,other,ok
Kuanyisha,Admirer,admirer,9.0,9.0,Positif,positive,Verbe,verb,ok
Kupiana,Adopter,adopter,1.0,1.0,Positif,positive,Verbe,verb,ok
Kuvundula,Agiter,agiter,-8.0,-8.0,Negatif,negative,Verbe,verb,ok
Kuambila,Annoncer,annoncer,4.0,4.0,Positif,positive,Verbe,verb,ok
Kubabidila,Anticiper,anticiper,5.0,5.0,Positif,positive,Verbe,verb,ok
Kusanga,Assembler,assembler,9.0,9.0,Positif,positive,Verbe,verb,ok
Mushipu,Automne,automne,-5.0,-5.0,Negatif,negative,Mot,other,ok
Lukinu,Haine,haine,-8.0,-8.0,Negatif,negative,Mot,other,ok
Kukoma,Repasser,repasser,3.0,3.0,Positif,positive,Verbe,verb,ok
Lusa,Pitié,pitié,4.0,4.0,Positif,positive,Mot,other,ok
Kutela,Enumerer,enumerer,6.0,6.0,Positif,positive,Verbe,verb,ok
Kututa,Frapper,frapper,-5.0,-5.0,Negatif,negative,Verbe,verb,ok
Kuenda,Marcher,marcher,7.0,7.0,Positif,positive,Verbe,verb,ok
Kuseka,Rigoler,rigoler,3.0,3.0,Positif,positive,Verbe,verb,ok
Kupeta,Trouver,trouver,7.0,7.0,Positif,positive,Verbe,verb,ok
Kukumbaja,Accomplir,accomplir,9.0,9.0,Positif,positive,Verbe,verb,ok
