CILUBA,French,French_norm,Score,Score_int,Sentiment,Sentiment_std,Nature,Nature_std,qa_status,english,notes,source,qa_status_translate
Akaja,Arrange,arrange,1.0,1.0,Positif,positive,Verbe,verb,ok,arrange,auto:gcp,gcp,ok
Akajilula,Rearrange,rearrange,1.0,1.0,Positif,positive,Verbe,verb,ok,rearrange,auto:gcp,gcp,ok
Akula,Parle,parle,2.0,2.0,Positif,positive,Verbe,verb,ok,speak,auto:gcp,gcp,ok
Akulula,Reparle,reparle,2.0,2.0,Positif,positive,Verbe,verb,ok,speak again,auto:gcp,gcp,ok
Aluja,Remet,remet,3.0,3.0,Positif,positive,Verbe,verb,ok,hands over,auto:gcp,gcp,ok
Amba,Dis,dis,3.0,3.0,Positif,positive,Verbe,verb,ok,say,auto:gcp,gcp,ok
Ambakaja,Supperpose,supperpose,3.0,3.0,Positif,positive,Verbe,verb,ok,superimpose,auto:gcp,gcp,ok
Ambula,Ramasse,ramasse,4.0,4.0,Positif,positive,Verbe,verb,ok,pick up,auto:gcp,gcp,ok
Ambuluja,Depeche,depeche,4.0,4.0,Positif,positive,Verbe,verb,ok,dispatch,auto:gcp,gcp,ok
Ambulula,Repete,repete,9.0,9.0,Positif,positive,Verbe,verb,ok,repeated,auto:gcp,gcp,ok
Andamuna,Repond,repond,9.0,9.0,Positif,positive,Verbe,verb,ok,answers,auto:gcp,gcp,ok
Angata,Prend,prend,9.0,9.0,Positif,positive,Verbe,verb,ok,takes,auto:gcp,gcp,ok
Angatulula,Reprend,reprend,9.0,9.0,Positif,positive,Verbe,verb,ok,resumes,auto:gcp,gcp,ok
Bilamba,Habits,habits,8.0,8.0,Positif,positive,Mot,other,ok,clothes,auto:gcp,gcp,ok
Bilela,Blague,blague,8.0,8.0,Positif,positive,Mot,other,ok,joke,auto:gcp,gcp,ok
Biluatu,Vetements,vetements,-1.0,-1.0,Negatif,negative,Mot,other,ok,clothes,auto:gcp,gcp,ok
Binsonji,Larmes,larmes,7.0,7.0,Positif,positive,Mot,other,ok,tears,auto:gcp,gcp,ok
Buela,Entre,entre,7.0,7.0,Positif,positive,Verbe,verb,ok,between,auto:gcp,gcp,ok
Bukenka,Lumiere,lumiere,7.0,7.0,Positif,positive,Mot,other,ok,light,auto:gcp,gcp,ok
Buloba,Terre,terre,-1.0,-1.0,Negatif,negative,Mot,other,ok,earth,auto:gcp,gcp,ok
Busuyi,Caboche,caboche,1.0,1.0,Positif,positive,Mot,other,ok,noggin,auto:gcp,gcp,ok
Bufuki,Creature,creature,1.0,1.0,Positif,positive,Mot,other,ok,creature,auto:gcp,gcp,ok
Buinvuindi,Ecouteurs,ecouteurs,3.0,3.0,Positif,positive,Mot,other,ok,headphones,auto:gcp,gcp,ok
Biuma,Dot,dot,4.0,4.0,Positif,positive,Mot,other,ok,dowry,auto:gcp,gcp,ok
Biululu,Nuage,nuage,5.0,5.0,Positif,positive,Mot,other,ok,cloud,auto:gcp,gcp,ok
Binvundu,Desordre,desordre,-3.0,-3.0,Negatif,negative,Mot,other,ok,mess,auto:gcp,gcp,ok
Bilongu,Fleurs,fleurs,6.0,6.0,Positif,positive,Mot,other,ok,flowers,auto:gcp,gcp,ok
Kubunya,Plier,plier,8.0,8.0,Positif,positive,Verbe,verb,ok,bend,auto:gcp,gcp,ok
Bulela,Verité,verité,8.0,8.0,Positif,positive,Mot,other,ok,truth,auto:gcp,gcp,ok
Bujitu,Poid,poid,9.0,9.0,Positif,positive,Mot,other,ok,weight,auto:gcp,gcp,ok
Bunsantu,Sainteté,sainteté,8.0,8.0,Positif,positive,Mot,other,ok,holiness,auto:gcp,gcp,ok
Bunsenji,Imbecilité,imbecilité,-3.0,-3.0,Negatif,negative,Mot,other,ok,imbecility,auto:gcp,gcp,ok
Bantu,gens,gens,1.0,1.0,Positif,positive,Mot,other,ok,people,auto:gcp,gcp,ok
