CILUBA,French,Afrikaans,Zulu,Score,Sentiment,Nature,English_Translation
Akaja,Arrange,Rangskik,Hlela,1.0,Positif,Verbe,Arrange
Akajilula,Rearrange,Herrangskik,Hlela kabusha,1.0,Positif,Verbe,Rearrange
Akula,Parle,Praat,Uyakhuluma,2.0,Positif,Verbe,Speak
Akulula,Reparle,Praat,Iphinde ikhulume,2.0,Positif,Verbe,Speak again
Aluja,Remet,Hande,Isaphulelo,3.0,Positif,Verbe,Hand over
Amba,Dis,Dis,I-DIS,3.0,Positif,Verbe,Say
Ambakaja,Supperpose,Veronderstel,Isidlo sakusihlwa,3.0,Positif,Verbe,Superpose
Ambula,Ramasse,Tel op,Ukuthatha,4.0,Positif,Verbe,Pick up
Ambuluja,Depeche,Depeche,I-Depeche,4.0,Positif,Verbe,News report
Ambulula,Repete,Herhaal,Phinda,9.0,Positif,Verbe,Repeated
Andamuna,Repond,Antwoorde,Phendula,9.0,Positif,Verbe,Answers
Angata,Prend,Neem,Kuthatha,9.0,Positif,Verbe,Takes
Angatulula,Reprend,Hervat,Uyaqhubeka,9.0,Positif,Verbe,Start again
Bilamba,Habits,Klere,Izingubo,8.0,Positif,Mot,Clothes
Bilela,Blague,Grap,Amahlaya,8.0,Positif,Mot,Joke
Biluatu,Vetements,Klere,Izingubo zokugqoka,-1.0,Negatif,Mot,Clothes
Binsonji,Larmes,Trane,Izinyembezi,7.0,Positif,Mot,Tears
Buela,Entre,Kom in,Phakathi,7.0,Positif,Verbe,Between
Bukenka,Lumiere,Lig,I-Lumiere,7.0,Positif,Mot,Light
Buloba,Terre,Aarde,Umhlaba,-1.0,Negatif,Mot,Earth
Busuyi,Caboche,Kop,I-Caboche,1.0,Positif,Mot,Caboche
Bufuki,Creature,Skepsel,Isidalwa,1.0,Positif,Mot,Creature
Buinvuindi,Ecouteurs,Oorfone,Ama-headphone,3.0,Positif,Mot,Headphones
Biuma,Dot,Bruidskat,Amachashazi,4.0,Positif,Mot,Dowry
Biululu,Nuage,Wolk,I-Cloud,5.0,Positif,Mot,Cloud
Binvundu,Desordre,Versteuring,Ugwadule,-3.0,Negatif,Mot,Mess
Bilongu,Fleurs,Blomme,Izimbali,6.0,Positif,Mot,Flowers
Kubunya,Plier,Vou,Songa,8.0,Positif,Verbe,Bend
Bulela,Verité,Waarheid,Iqiniso,8.0,Positif,Mot,Truth
Bujitu,Poid,Gewig,I-poid,9.0,Positif,Mot,Weight
Bunsantu,Sainteté,Heiligheid,Ubungcwele,8.0,Positif,Mot,Holiness
Bunsenji,Imbecilité,Imbecility,Imbecility,-3.0,Negatif,Mot,Imbecility
Bantu,gens,Mense,abantu,1.0,Positif,Mot,people
Bansatu,Saints,Heiliges,Osanta,9.0,Positif,Mot,Saints
Banjelu,Anges,Engele,Izingelosi,1.0,Positif,Mot,Angels
Buinvi,Vol,Diefstal,Indiza,-9.0,Negatif,Mot,Flight
Buikila,Ferme,Ferm,Ipulazi,-8.0,Negatif,Mot,Farm
Butaka,Sexe,Seks,Ubulili,3.0,Positif,Mot,Sex
Bulalu,Lit,Bed,Umbhede,2.0,Positif,Mot,Bed
Bufuka,Fertile,Vrugbare,Ivundile,6.0,Positif,Mot,Fertile
Buatu,Bateau,Boot,Isikebhe,5.0,Positif,Mot,Boat
Bukula,Farine,Meel,Inhlama,8.0,Positif,Mot,Flour
