French_norm,Nature_std,suggested_sentiment,suggested_score,df_pos,df_neg,df_neu
pas,other,negative,10.0,0,284,0
n'est,other,negative,10.0,0,189,0
nul,other,negative,10.0,0,191,0
éviter,other,negative,10.0,0,102,0
honnêtement,other,negative,10.0,0,186,0
n'aime,other,negative,10.0,0,95,0
déteste,other,negative,10.0,0,218,0
recommandé,other,negative,10.0,0,87,0
ce,other,negative,9.9,1,191,0
dans,other,negative,6.67,0,2,1
que,other,neutral,0.0,1,0,2
a,other,neutral,0.0,1,0,2
discute,other,neutral,0.0,0,0,94
est,other,neutral,0.0,1,1,420
mentionné,other,neutral,0.0,0,0,250
à,other,neutral,0.0,1,1,330
on,other,neutral,0.0,321,95,334
aime,other,positive,10.0,321,0,0
j'adore,other,positive,10.0,566,0,0
franchement,other,positive,10.0,580,0,0
faut,other,positive,10.0,367,0,0
idée,other,positive,10.0,338,0,0
homme,other,positive,10.0,3,0,0
ur,other,positive,10.0,3,0,0
une,other,positive,10.0,338,0,0
utile,other,positive,9.95,368,1,0
c'est,other,positive,6.1,2454,595,0
uf,other,positive,5.0,2,0,2
du,other,positive,5.0,5,1,2
nan,other,positive,2.5,2,1,1
qui,other,positive,2.5,2,1,1
assez,other,positive,0.0,1,1,1
uvre,other,positive,0.0,1,1,1
